tf,date,open,high,low,close,volume
1h,2026-04-28 11:15:00+05:30,185.5,185.5,185.5,185.5,0
1h,2026-04-28 12:15:00+05:30,185.5,185.5,185.5,185.5,0
1h,2026-04-28 13:15:00+05:30,185.5,211.6,185.5,211.6,65
1h,2026-04-28 14:15:00+05:30,211.6,211.6,205.0,205.0,130
1h,2026-04-28 15:15:00+05:30,205.0,205.8,205.0,205.8,130
1h,2026-04-29 09:15:00+05:30,178.05,178.05,127.7,127.7,130
1h,2026-04-29 10:15:00+05:30,127.7,127.7,117.0,118.9,325
1h,2026-04-29 11:15:00+05:30,118.9,118.9,116.8,116.8,975
1h,2026-04-29 12:15:00+05:30,116.8,116.8,108.3,108.3,130
1h,2026-04-29 13:15:00+05:30,108.3,139.75,108.3,136.65,845
1h,2026-04-29 14:15:00+05:30,136.65,145.35,136.65,142.45,585
1h,2026-04-29 15:15:00+05:30,142.45,151.3,142.45,149.8,585
1h,2026-04-30 09:15:00+05:30,192.2,235.0,192.2,229.15,845
1h,2026-04-30 10:15:00+05:30,229.15,288.05,229.15,278.75,2470
1h,2026-04-30 11:15:00+05:30,278.75,278.75,250.0,251.35,325
1h,2026-04-30 12:15:00+05:30,251.35,251.35,212.4,212.4,1755
1h,2026-04-30 13:15:00+05:30,212.4,214.6,186.75,194.15,2405
1h,2026-04-30 14:15:00+05:30,194.15,194.15,181.05,181.05,130
1h,2026-04-30 15:15:00+05:30,181.05,181.05,176.0,176.0,65
1h,2026-05-04 09:15:00+05:30,115.8,120.45,102.15,120.45,2080
1h,2026-05-04 10:15:00+05:30,120.45,128.15,108.35,119.5,1170
1h,2026-05-04 11:15:00+05:30,119.5,124.6,103.2,124.15,10075
1h,2026-05-04 12:15:00+05:30,124.15,142.45,124.15,136.65,1495
1h,2026-05-04 13:15:00+05:30,136.65,168.6,136.65,146.95,2730
1h,2026-05-04 14:15:00+05:30,146.95,146.95,131.0,136.55,3770
1h,2026-05-04 15:15:00+05:30,136.55,136.55,129.1,132.3,130
1h,2026-05-05 09:15:00+05:30,158.55,169.0,141.7,161.8,2600
1h,2026-05-05 10:15:00+05:30,161.8,178.55,156.55,171.55,8970
1h,2026-05-05 11:15:00+05:30,171.55,187.3,162.05,162.7,2990
1h,2026-05-05 12:15:00+05:30,162.7,165.0,120.0,126.6,4225
1h,2026-05-05 13:15:00+05:30,126.6,136.35,123.35,136.35,2080
1h,2026-05-05 14:15:00+05:30,136.35,136.35,124.9,124.9,3380
1h,2026-05-05 15:15:00+05:30,124.9,124.9,114.95,114.95,4485
1h,2026-05-06 09:15:00+05:30,76.9,99.2,75.45,86.0,35880
